,!,!=,$,&&,(,),*,+,-,/,;,<,<=,=,==,>,>=,[,],basic,break,do,else,id,if,num,real,true,while,{,||,},stmts,decl,stmt,false
368,,,,,,,,,,,s387,,,,,,,,,,,,,,,,,,,,s108,,,,,
369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r14,,,,,,,
370,,r17,,r17,,,r17,r17,r17,r17,r17,,,,r17,,,r17,,,,,,,,,,,,,r17,,,,,
371,,r17,,r17,,r17,r17,r17,r17,r17,,,,,r17,,,r17,,,,,,,,,,,,,r17,,,,,
372,,,,,,s383,,,,,,,,,,,,,,,,,,,,,,,,,s95,,,,,
373,s52,,,,s55,,,,s53,,,,,,,,,,,,,,,s61,,s57,s58,s59,,,,,,,,s60
374,,,,,,s386,,,,,,,,,,,,,,,,,,,,,,,,,s95,,,,,
375,,,,,,,,,,,,,,,,,,,,,,,r2,,,,,,,,,r2,,,r2,
376,,,,,,,,,,,,,,,,,,,,,,,r10,,,,,,,,,r10,,,r10,
377,,,,,,,,,,,,,,,,,,,,,s391,s390,,s19,s380,,,,s389,s193,,,,,,
378,,,,,,,,,,,,,,,,,,,,,,,r13,,,,,,,,,r13,,,r13,
379,,,,,,,,,,,,,,s311,,,,s35,,,,,,,,,,,,,,,,,,
380,,,,,s310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,s52,,,,s55,,,,s53,,,,,,,,,,,,,,,s61,,s57,s58,s59,,,,,,,,s60
383,,,,,,,,,,,,,,,,,,,,,s283,s282,,s19,s393,,,,s281,s394,,,,,,
384,,,,,,,,,,,,,,,,,,,,,,,r2,,,,,,r2,,,,,,,
385,,,,,,s395,,,,,,,,,,,,,,,,,,,,,,,,,s95,,,,,
386,,,,,,,,,,,,,,,,,,,,,s283,s282,,s19,s393,,,,s281,s394,,,,,,
387,,,,,,,,,,,,,,,,,,,,,,,r10,,,,,,r10,,,,,,,
388,,,,,,,,,,,,,,,,,,,,,,,r11,,,,,,,,,r11,,,r11,
389,,,,,s297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,,,,,,,,,,,,,,,,,,,,,s32,s31,,s19,s29,,,,s30,s34,,,,,,
391,,,,,,,,,,,s312,,,,,,,,,,,,,,,,,,,,,,,,,
392,,,,,,,,,,,,,,,,,,,,,,,r11,,,,,,r11,,,,,,,
393,,,,,s339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,,,,,,,,,,,s401,,,,,,,,,,,,,,,,,,,,,,,,,
396,,,,,,s399,,,,,,,,,,,,,,,,,,,,,,,,,s95,,,,,
397,,,,,,,,,,,,,,,,,,,,,,,r13,,,,,,r13,,,,,,,
398,,,,,,,,,,,,,,,,,,,,,s191,s404,,s19,s380,,,,s403,s381,,,,,,
399,,,,,,,,,,,s406,,,,,,,,,,,,,,,,,,,,,,,,,
400,,,,,,,,,,,,,,,,,,,,,s283,s282,,s19,s393,,,,s281,s394,,,,,,
401,,,,,,,,,,,,,,,,,,,,,,,r14,,,,,,,,,r14,,,r14,
402,,,,,,,,,,,,,,,,,,,,,,,r12,,,,,,,,,r12,,,r12,
403,,,,,s297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,,,,,,,,,,,,,,,,,,,,,s32,s31,,s19,s29,,,,s30,s34,,,,,,
405,,,,,,,,,,,,,,,,,,,,,,,r12,,,,,,r12,,,,,,,
406,,,,,,,,,,,,,,,,,,,,,,,r14,,,,,,r14,,,,,,,
