,!,!=,$,&&,(,),*,+,-,/,;,<,<=,=,==,>,>=,[,],basic,break,do,else,id,if,num,real,true,while,{,||,},stmts,decl,stmt,false
171,,r24,,r24,,,,,,,r24,,,,r24,,,,,,,,,,,,,,,,r24,,,,,
172,s52,,,,s55,,,,s53,,,,,,,,,,,,,,,s61,,s57,s58,s59,,,,,,,,s60
173,,r40,,r40,,,r40,r40,r40,r40,r40,r40,r40,,r40,r40,r40,,,,,,,,,,,,,,r40,,,,,
174,,r24,,r24,,r24,,,,,,,,,r24,,,,,,,,,,,,,,,,r24,,,,,
175,,r30,,r30,,r30,,s132,s298,,,s137,s134,,r30,s133,s136,,,,,,,,,,,,,,r30,,,,,
176,,r39,,r39,,r39,r39,r39,r39,r39,,r39,r39,,r39,r39,r39,,,,,,,,,,,,,,r39,,,,,
177,s52,,,,s55,,,,s53,,,,,,,,,,,,,,,s61,,s57,s58,s59,,,,,,,,s60
178,,r43,,r43,,r43,r43,r43,r43,r43,,r43,r43,,r43,r43,r43,,,,,,,,,,,,,,r43,,,,,
179,,r44,,r44,,r44,r44,r44,r44,r44,,r44,r44,,r44,r44,r44,,,,,,,,,,,,,,r44,,,,,
180,,,,,,s296,,,,,,,,,,,,,,,,,,,,,,,,,s95,,,,,
181,,,,s82,,r19,,,,,,,,,,,,,,,,,,,,,,,,,r19,,,,,
182,s52,,,,s55,,,,s53,,,,,,,,,,,,,,,s61,,s57,s58,s59,,,,,,,,s60
183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r10,,,,,,,
184,,s97,,r21,,,,,,,r21,,,,s98,,,,,,,,,,,,,,,,r21,,,,,
185,,r30,,r30,,,,s85,s304,,r30,s89,s86,,r30,s87,s90,,,,,,,,,,,,,,r30,,,,,
186,,,,,,,,,,,,,,,,,,,,,,,s300,,,,,,,,,r11,,,r11,
187,,,,,,,,,,,,,,s311,,,,s35,,,,,,,,,,,,,,,,,,
188,,,,,s310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,,,,,s297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,,,,,,s32,s31,,s19,s29,,,,s30,s34,,,,,,
191,,,,,,,,,,,s312,,,,,,,,,,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,,,,,,,,r16,,,,,,,,,r16,,,r16,
193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,r26,,r26,,,,s287,s286,,r26,,,,r26,,,,,,,,,,,,,,,,r26,,,,,
195,,r33,,r33,,,s322,r33,r33,s321,r33,,,,r33,,,,,,,,,,,,,,,,r33,,,,,
196,,r36,,r36,,,r36,r36,r36,r36,r36,,,,r36,,,,,,,,,,,,,,,,r36,,,,,
197,s197,,,,s200,,,,s198,,,,,,,,,,,,,,,s206,,s202,s203,s325,,,,,,,,s235
198,s197,,,,s200,,,,s198,,,,,,,,,,,,,,,s206,,s202,s203,s204,,,,,,,,s235
199,,r39,,r39,,,r39,r39,r39,r39,r39,,,,r39,,,,,,,,,,,,,,,,r39,,,,,
200,s52,,,,s55,,,,s53,,,,,,,,,,,,,,,s61,,s57,s58,s59,,,,,,,,s60
201,,r41,,r41,,,r41,r41,r41,r41,r41,,,,r41,,,s316,,,,,,,,,,,,,r41,,,,,
202,,r42,,r42,,,r42,r42,r42,r42,r42,,,,r42,,,,,,,,,,,,,,,,r42,,,,,
203,,r43,,r43,,,r43,r43,r43,r43,r43,,,,r43,,,,,,,,,,,,,,,,r43,,,,,
204,,r44,,r44,,,r44,r44,r44,r44,r44,,,,r44,,,,,,,,,,,,,,,,r44,,,,,
205,,r45,,r45,,,r45,r45,r45,r45,r45,,,,r45,,,,,,,,,,,,,,,,r45,,,,,
206,,r18,,r18,,,r18,r18,r18,r18,r18,,,,r18,,,r18,,,,,,,,,,,,,r18,,,,,
207,,r28,,r28,,r28,,s305,s306,,,,,,r28,,,,,,,,,,,,,,,,r28,,,,,
208,,r33,,r33,,r33,s289,r33,r33,s288,,,,,r33,,,,,,,,,,,,,,,,r33,,,,,
209,,r36,,r36,,r36,r36,r36,r36,r36,,,,,r36,,,,,,,,,,,,,,,,r36,,,,,
210,s210,,,,s293,,,,s211,,,,,,,,,,,,,,,s219,,s215,s294,s295,,,,,,,,s218
211,s210,,,,s293,,,,s211,,,,,,,,,,,,,,,s219,,s215,s315,s217,,,,,,,,s218
212,,r39,,r39,,r39,r39,r39,r39,r39,,,,,r39,,,,,,,,,,,,,,,,r39,,,,,
